

﻿ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
178,simple,,"Cây cảnh loại lớn 2024",1,0,visible,,"Trồng trong môi trường có nhiệt độ thấp, phù hợp cho không gian nhà",,,taxable,,1,,,0,0,,,,,1,,45000000,50000000,"Không gian nhà ở",,,http://localhost/gghouse/wp-content/uploads/2024/11/images-1.jpg,,,,,,,,,0
181,simple,,"Cây Kim Tiền",1,1,visible,"&nbsp;\n\nCây phong thủy mang lại tài lộc cho gia chủ.","Cây Kim Tiền là một loại cây phong thủy mang lại sự may mắn và tài lộc cho gia chủ. Cây dễ chăm sóc và phù hợp với mọi không gian sống.",,,taxable,,1,,,0,0,,,,,1,,115000,1200000,"Cây để sàn",,,http://localhost/gghouse/wp-content/uploads/2024/11/danh-muc-cay-de-san-9xgarden.jpg,,,,,,,,,0
182,simple,,"Cây để bàn",1,1,visible,,,,,taxable,,1,,,0,0,,,,,1,,,100000,"Cây cảnh trong nhà, Cây để bàn",,,http://localhost/gghouse/wp-content/uploads/2024/11/danh-muc-cay-de-ban-9xgarden-1.jpg,,,,,,,,,0
183,simple,,"Cây cảnh loại to khỏe",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,10000,"Cây để bàn",,,http://localhost/gghouse/wp-content/uploads/2024/11/images-1.jpg,,,,,,,,,0
184,simple,,"Cây Xương Rồng",1,0,visible,"<div>\n<div>Lorem ipsum dolor sit amet consectetur adipisicing elit. Laborum, ad modi distinctio neque nam, nulla cum adipisci quae ab doloremque alias ipsa id quidem! Modi voluptatem consectetur amet alias adipisci!</div>\n<div>Lorem ipsum dolor sit amet consectetur adipisicing elit. Laborum, ad modi distinctio neque nam, nulla cum adipisci quae ab doloremque alias ipsa id quidem! Modi voluptatem consectetur amet alias adipisci!</div>\n<div></div>\n</div>","<div>Xương rồng là biểu tượng của sự kiên cường và mạnh mẽ. Loại cây này phù hợp để trồng trong nhà hoặc văn phòng, ít cần chăm sóc và sống tốt trong môi trường khô hạn.</div>\n<div>\n<div><img class=""alignnone size-medium wp-image-77 aligncenter"" src=""http://localhost/gghouse/wp-content/uploads/2024/11/danh-muc-chau-trong-cay-gom-su-9xgarden-300x300.jpg"" alt="""" width=""300"" height=""300"" /></div>\n<div>Xương rồng là biểu tượng của sự kiên cường và mạnh mẽ. Loại cây này phù hợp để trồng trong nhà hoặc văn phòng, ít cần chăm sóc và sống tốt trong môi trường khô hạn.</div>\n</div>",,,taxable,,1,1,,0,0,,,,,1,,10000,100000,"Cây cảnh trong nhà, Cây để bàn, Cây để sàn",,,"http://localhost/gghouse/wp-content/uploads/2024/11/danh-muc-cay-de-san-9xgarden.jpg, http://localhost/gghouse/wp-content/uploads/2024/11/danh-muc-cay-de-ban-9xgarden-1.jpg, http://localhost/gghouse/wp-content/uploads/2024/11/danh-muc-cay-de-san-9xgarden.jpg, http://localhost/gghouse/wp-content/uploads/2024/11/shop-cay-canh-mini-khong-trong-dat-9x-garden-1.jpg",,,,,,,,,0
185,simple,,"Cây Sen Đá",1,0,visible,,"Sen đá là loại cây cảnh nhỏ gọn, có lá mọng nước, thường được dùng để trang trí bàn làm việc hoặc không gian sống. Cây dễ chăm sóc, chỉ cần tưới nước 1-2 lần mỗi tuần. Mang ý nghĩa bền bỉ và vĩnh cửu trong tình yêu.",,,taxable,,1,,,0,0,,,,,1,,78000,100000,"Cây để bàn, Cây để sàn",,,http://localhost/gghouse/wp-content/uploads/2024/11/top-19-loai-cay-canh-trong-nha-hop-phong-thuy-va-de-cham-soc-nhat-hien-nay-651645fbe15e8c8b38af38b3.webp,,,,,,,,,0
189,simple,,"Cây Trầu Bà Leo Cột",1,0,visible,,"Trầu bà là cây trang trí phổ biến với khả năng thanh lọc không khí và dễ chăm sóc. Lá xanh mướt, thích hợp cho các không gian nội thất hiện đại.Trầu bà là cây trang trí phổ biến với khả năng thanh lọc không khí và dễ chăm sóc. Lá xanh mướt, thích hợp cho các không gian nội thất hiện đại.Trầu bà là cây trang trí phổ biến với khả năng thanh lọc không khí và dễ chăm sóc. Lá xanh mướt, thích hợp cho các không gian nội thất hiện đại.Trầu bà là cây trang trí phổ biến với khả năng thanh lọc không khí và dễ chăm sóc. Lá xanh mướt, thích hợp cho các không gian nội thất hiện đại.",,,taxable,,1,,,0,0,,,,,1,,250000,500000,"Cây cảnh trong nhà",,,http://localhost/gghouse/wp-content/uploads/2024/11/images-1-1.jpg,,,,,,,,,0
264,simple,,"Cây Lưỡi Hổ",1,0,visible,"Cây lọc không khí và mang lại may mắn.","Cây Lưỡi Hổ có khả năng lọc không khí hiệu quả, đồng thời cũng là cây phong thủy giúp xua đuổi tà khí. Rất thích hợp để trong nhà hoặc văn phòng.",,,taxable,,1,,,0,0,,,,,1,,1500000,18000000,"Cây để bàn",,,"http://localhost/gghouse/wp-content/uploads/2024/11/cay-luoi-ho.jpg, http://localhost/gghouse/wp-content/uploads/2024/11/cay-luoi-ho.jpg",,,,,,,,,0
266,simple,,"Cây Bonsai Mini",1,0,visible,"Cây Bonsai nhỏ gọn và nghệ thuật.","Cây Bonsai Mini là một tác phẩm nghệ thuật sống, mang đến vẻ đẹp độc đáo và sự thư giãn cho không gian sống.",,,taxable,,1,,,0,0,,,,,1,,4500000,5000000,"Cây để sàn",,,"http://localhost/gghouse/wp-content/uploads/2024/11/images-2.jpg, http://localhost/gghouse/wp-content/uploads/2024/11/dia-chi-ban-cay-bonsai-mini-uy-tin-tren-dia-ban-thanh-pho-ho-chi-minh-e1555862655387.jpg",,,,,,,,,0
269,simple,,"Cây Cọ Nhật",1,0,visible,"Cây trang trí tạo cảm giác dễ chịu.","Cây Cọ Nhật mang lại cảm giác thanh thoát và dễ chịu. Rất thích hợp để trồng trong nhà hoặc văn phòng.",,,taxable,,1,,,0,0,,,,,1,,4500000,4800000,"Cây cảnh trong nhà",,,"http://localhost/gghouse/wp-content/uploads/2024/11/images-3.jpg, http://localhost/gghouse/wp-content/uploads/2024/11/images-3.jpg, http://localhost/gghouse/wp-content/uploads/2024/11/images-4.jpg",,,,,,,,,0
